equipo,edicion,pais,valor_mercado,promedio_valor_mercado,promedio_edad,cantidad_jugadores,cantidad_jugadores_extranjeros
Universidad de Chile,2020,Chile,9.5,0.297,24.7,32,8
Club Alianza Lima,2020,Perú,9.5,0.279,25.3,34,7
Club Jorge Wilstermann ,2020,Bolivia,10.93,0.331,28.3,33,9
Delfín SC,2020,Ecuador,15.2,0.447,26.4,34,8
CD Palestino,2020,Chile,10.98,0.297,25.3,37,7
CD Macará,2020,Ecuador,9.95,0.321,26.4,31,8
Deportivo Táchira,2020,Venezuela,4.95,0.155,23.7,32,3
Caracas FC,2020,Venezuela,7.3,0.183,22.6,40,2
Deportivo Binacional,2020,Perú,8.28,0.259,27.6,32,6
Cerro Largo FC,2020,Uruguay,5.78,0.156,24.5,37,5
Carabobo FC,2020,Venezuela,3.73,0.096,23.2,39,1
Club Atlético Progreso,2020,Uruguay,4.95,0.13,25.1,38,3
Estudiantes de Mérida,2020,Venezuela,5.35,0.145,23.6,37,5
GV Club Deportivo San José Oruro,2020,Bolivia,1.48,0.055,28.4,27,6
Sociedade Esportiva Palmeiras,2019,Brasil,138.85,2.89,27.1,48,4
Clube de Regatas do Flamengo,2019,Brasil,118.5,2.69,24.6,44,7
CA River Plate,2019,Argentina,148.25,3.37,25.7,44,8
Clube Atlético Mineiro,2019,Brasil,58.9,1.15,25.2,51,7
CA Boca Juniors,2019,Argentina,144.0,2.53,25.1,57,11
Sport Club Internacional,2019,Brasil,68.95,1.47,25.7,47,8
São Paulo FC,2019,Brasil,97.0,1.67,23.6,58,4
Grêmio Foot-Ball Porto Alegrense,2019,Brasil,90.75,1.78,24.5,51,2
Club Athletico Paranaense,2019,Brasil,45.25,0.887,23.7,51,6
Club Atlético Talleres,2019,Argentina,59.25,1.0,23.0,59,11
Club Libertad Asunción,2019,Paraguay,16.15,0.436,25.6,37,6
Club Cerro Porteño,2019,Paraguay,18.13,0.465,25.9,39,11
CD Godoy Cruz Antonio Tomba,2019,Argentina,42.25,0.621,23.7,68,10
Junior de Barranquilla,2019,Colombia,31.43,0.748,26.1,42,6
Atlético Nacional,2019,Colombia,30.88,0.605,23.5,51,5
CA Huracán,2019,Argentina,23.35,0.41,25.1,57,7
Deportes Tolima,2019,Colombia,28.7,0.797,25.6,36,7
Club Nacional,2019,Uruguay,18.5,0.463,25.3,40,6
Club Olimpia Asunción,2019,Paraguay,20.5,0.539,27.3,38,7
CA San Lorenzo de Almagro,2019,Argentina,92.9,1.57,25.3,59,5
CS Emelec,2019,Ecuador,19.78,0.534,26.1,37,7
CD Universidad Católica,2019,Chile,19.65,0.595,25.7,33,7
Cruzeiro Esporte Clube,2019,Brasil,54.18,1.2,24.9,45,4
CA Peñarol,2019,Uruguay,25.2,0.548,24.7,46,5
CA Rosario Central,2019,Argentina,31.0,0.596,25.1,52,8
Barcelona SC Guayaquil,2019,Ecuador,24.4,0.581,25.7,42,7
Independiente Medellín,2019,Colombia,26.43,0.601,24.3,44,2
LDU Quito,2019,Ecuador,24.35,0.541,24.1,45,6
Bolívar La Paz,2019,Bolivia,6.38,0.319,27.7,20,7
Club Sporting Cristal,2019,Perú,11.43,0.286,23.1,40,5
The Strongest La Paz,2019,Bolivia,4.65,0.202,28.0,23,6
FBC Melgar,2019,Perú,12.63,0.332,24.2,38,6
Universidad de Chile,2019,Chile,16.2,0.491,25.9,33,7
Club Alianza Lima,2019,Perú,13.7,0.403,25.4,34,8
Club Jorge Wilstermann ,2019,Bolivia,4.4,0.163,27.9,27,6
Delfín SC,2019,Ecuador,12.1,0.417,26.2,29,4
CD Palestino,2019,Chile,10.03,0.271,24.7,37,10
Club Nacional Asunción,2019,Paraguay,6.05,0.132,24.4,46,6
Defensor Sporting Club,2019,Uruguay,8.18,0.21,24.0,39,2
Danubio FC,2019,Uruguay,6.75,0.153,22.8,44,1
Caracas FC,2019,Venezuela,10.08,0.206,23.6,49,6
Deportivo La Guaira,2019,Venezuela,10.58,0.186,24.0,57,9
Cusco FC,2019,Perú,9.85,0.298,27.1,33,7
Deportivo Lara,2019,Venezuela,10.63,0.174,24.4,61,8
Zamora FC,2019,Venezuela,8.85,0.177,23.5,50,6
Universidad de Concepción,2019,Chile,11.03,0.315,26.5,35,11
GV Club Deportivo San José Oruro,2019,Bolivia,4.03,0.161,30.0,25,5
Sociedade Esportiva Palmeiras,2018,Brasil,92.43,1.93,25.6,48,4
Clube de Regatas do Flamengo,2018,Brasil,121.33,2.58,24.7,47,7
CA River Plate,2018,Argentina,148.58,3.38,25.3,44,10
CA Boca Juniors,2018,Argentina,201.05,3.59,24.8,56,11
Sport Club Corinthians Paulista,2018,Brasil,86.48,1.6,25.2,54,6
Santos FC,2018,Brasil,71.3,1.55,24.0,46,5
Grêmio Foot-Ball Porto Alegrense,2018,Brasil,110.2,1.87,25.4,59,2
Racing Club,2018,Argentina,79.23,1.58,26.2,50,9
Club Estudiantes de La Plata,2018,Argentina,32.0,0.681,25.1,47,5
Club Atlético Independiente,2018,Argentina,107.65,2.29,25.9,47,9
Club Libertad Asunción,2018,Paraguay,7.9,0.263,28.4,30,3
Club Cerro Porteño,2018,Paraguay,12.75,0.425,27.3,30,8
CA Banfield,2018,Argentina,30.18,0.754,25.2,40,5
Club de Regatas Vasco da Gama,2018,Brasil,63.45,1.15,24.9,55,7
Junior de Barranquilla,2018,Colombia,29.85,0.694,25.3,43,5
Millonarios FC,2018,Colombia,23.4,0.709,25.7,33,4
Atlético Nacional,2018,Colombia,29.3,0.733,25.0,40,5
Club Nacional,2018,Uruguay,25.75,0.599,25.7,43,6
Club Olimpia Asunción,2018,Paraguay,14.58,0.503,26.5,29,6
CSD Colo Colo,2018,Chile,19.55,0.489,24.6,40,10
CS Emelec,2018,Ecuador,23.9,0.683,26.2,35,8
Cruzeiro Esporte Clube,2018,Brasil,60.85,1.19,24.9,51,6
Independiente del Valle,2018,Ecuador,12.75,0.425,23.2,30,4
CA Peñarol,2018,Uruguay,18.18,0.454,25.0,40,4
Club Guaraní,2018,Paraguay,8.35,0.398,26.5,21,4
Club Atlético Tucumán,2018,Argentina,21.9,0.509,27.5,43,4
Bolívar La Paz,2018,Bolivia,7.53,0.279,27.9,27,7
Independiente Santa Fe,2018,Colombia,26.23,0.69,27.3,38,5
Associação Chapecoense de Futebol,2018,Brasil,30.75,0.591,25.7,52,5
The Strongest La Paz,2018,Bolivia,3.23,0.111,26.1,29,5
Universitario de Deportes,2018,Perú,7.03,0.171,23.8,41,5
FBC Melgar,2018,Perú,9.55,0.227,24.5,42,6
Universidad de Chile,2018,Chile,19.35,0.553,26.5,35,7
Club Alianza Lima,2018,Perú,9.23,0.249,24.6,37,5
Club Deportivo Oriente Petrolero,2018,Bolivia,2.88,0.125,27.2,23,7
Club Jorge Wilstermann ,2018,Bolivia,3.0,0.13,28.7,23,7
Montevideo Wanderers,2018,Uruguay,7.75,0.242,23.8,32,1
Delfín SC,2018,Ecuador,13.25,0.379,26.6,35,7
Defensor Sporting Club,2018,Uruguay,11.23,0.321,24.0,35,3
CD Macará,2018,Ecuador,11.05,0.356,25.3,31,6
Deportivo Táchira,2018,Venezuela,11.2,0.238,23.7,47,6
Cusco FC,2018,Perú,10.3,0.245,26.8,42,7
Monagas SC,2018,Venezuela,8.8,0.22,24.5,40,6
Carabobo FC,2018,Venezuela,7.48,0.197,23.8,38,5
Deportivo Lara,2018,Venezuela,8.3,0.177,24.0,47,5
Santiago Wanderers,2018,Chile,7.35,0.223,25.3,33,6
Universidad de Concepción,2018,Chile,11.55,0.296,26.6,39,11
Sociedade Esportiva Palmeiras,2017,Brasil,78.0,1.77,26.0,44,3
Clube de Regatas do Flamengo,2017,Brasil,73.95,1.72,25.3,43,7
CA River Plate,2017,Argentina,107.65,2.39,25.4,45,8
Clube Atlético Mineiro,2017,Brasil,71.98,1.53,25.4,47,3
Santos FC,2017,Brasil,68.05,1.48,24.5,46,4
Grêmio Foot-Ball Porto Alegrense,2017,Brasil,60.2,0.971,24.0,62,7
Club Athletico Paranaense,2017,Brasil,46.0,0.902,24.5,51,4
Botafogo de Futebol e Regatas,2017,Brasil,31.15,0.611,24.4,51,5
Club Atlético Lanús,2017,Argentina,48.3,1.05,25.8,46,4
Club Estudiantes de La Plata,2017,Argentina,30.4,0.779,25.7,39,5
Club Libertad Asunción,2017,Paraguay,9.18,0.287,26.1,32,2
CD Godoy Cruz Antonio Tomba,2017,Argentina,41.6,1.16,23.8,36,7
Junior de Barranquilla,2017,Colombia,31.13,0.724,26.2,43,4
Millonarios FC,2017,Colombia,19.4,0.606,26.3,32,5
Atlético Nacional,2017,Colombia,38.75,0.705,25.0,55,9
Club Nacional,2017,Uruguay,25.08,0.643,25.4,39,2
Club Olimpia Asunción,2017,Paraguay,16.7,0.506,26.7,33,8
CA San Lorenzo de Almagro,2017,Argentina,49.83,1.11,25.8,45,3
CSD Colo Colo,2017,Chile,23.6,0.445,24.2,53,9
CS Emelec,2017,Ecuador,21.7,0.603,25.4,36,6
CD Universidad Católica,2017,Chile,23.8,0.467,24.9,51,10
Independiente del Valle,2017,Ecuador,16.95,0.53,23.6,32,4
CA Peñarol,2017,Uruguay,36.83,0.646,25.0,57,9
Barcelona SC Guayaquil,2017,Ecuador,24.03,0.616,24.4,39,4
Independiente Medellín,2017,Colombia,26.58,0.648,26.1,41,4
Club Guaraní,2017,Paraguay,7.43,0.24,28.0,31,5
Club Atlético Tucumán,2017,Argentina,18.2,0.444,27.8,41,5
Club Sporting Cristal,2017,Perú,9.45,0.278,24.2,34,7
Independiente Santa Fe,2017,Colombia,27.13,0.714,26.4,38,4
Associação Chapecoense de Futebol,2017,Brasil,35.05,0.687,24.9,51,5
Unión Española,2017,Chile,12.8,0.291,24.3,44,15
The Strongest La Paz,2017,Bolivia,3.95,0.146,27.6,27,5
Universitario de Deportes,2017,Perú,8.98,0.236,24.7,38,5
FBC Melgar,2017,Perú,10.0,0.263,25.3,38,5
Club Jorge Wilstermann ,2017,Bolivia,3.9,0.15,29.3,26,10
Montevideo Wanderers,2017,Uruguay,9.95,0.243,23.7,41,0
Deportivo Municipal,2017,Perú,7.88,0.207,23.5,38,7
Deportivo Táchira,2017,Venezuela,12.9,0.239,25.1,54,5
Carabobo FC,2017,Venezuela,7.58,0.185,24.1,41,6
Club Universitario de Sucre,2017,Bolivia,0.675,0.038,29.2,18,8
Zamora FC,2017,Venezuela,10.9,0.242,24.0,45,7
Club Atlético Cerro,2017,Uruguay,12.48,0.235,25.8,53,8
Deportes Iquique,2017,Chile,9.4,0.214,24.7,44,6
Zulia FC,2017,Venezuela,8.15,0.185,23.4,44,4
CD El Nacional,2017,Ecuador,9.75,0.257,23.3,38,1
Deportivo Capiatá,2017,Paraguay,2.3,0.1,30.7,23,0
Sport Boys Warnes,2017,Bolivia,4.7,0.181,29.1,26,7
Sociedade Esportiva Palmeiras,2016,Brasil,77.1,1.75,26.0,44,5
CA River Plate,2016,Argentina,98.75,2.06,25.5,48,8
Clube Atlético Mineiro,2016,Brasil,78.75,1.49,24.4,53,5
CA Boca Juniors,2016,Argentina,98.88,2.35,24.6,42,7
São Paulo FC,2016,Brasil,92.68,1.93,24.1,48,8
Sport Club Corinthians Paulista,2016,Brasil,66.55,1.58,24.4,42,2
Grêmio Foot-Ball Porto Alegrense,2016,Brasil,65.68,1.34,23.9,49,3
Racing Club,2016,Argentina,66.53,1.13,25.6,59,8
Deportivo Toluca FC,2016,México,32.6,0.858,26.0,38,7
Club Cerro Porteño,2016,Paraguay,18.2,0.52,26.4,35,4
Club Puebla,2016,México,29.7,0.646,27.1,46,11
Pumas UNAM ,2016,México,35.4,0.823,24.7,43,11
Atlético Nacional,2016,Colombia,30.08,0.537,23.6,56,4
CA Huracán,2016,Argentina,27.58,0.53,26.3,52,7
Club Nacional,2016,Uruguay,24.13,0.652,25.5,37,3
Club Olimpia Asunción,2016,Paraguay,15.08,0.486,26.2,31,2
CA San Lorenzo de Almagro,2016,Argentina,61.58,1.12,25.8,55,5
CSD Colo Colo,2016,Chile,15.83,0.48,25.5,33,10
CS Emelec,2016,Ecuador,29.55,0.739,26.6,40,9
Independiente del Valle,2016,Ecuador,18.6,0.477,21.6,39,3
CA Rosario Central,2016,Argentina,49.08,0.909,25.4,54,10
CA Peñarol,2016,Uruguay,29.4,0.653,25.3,45,6
Club Guaraní,2016,Paraguay,3.7,0.176,28.0,21,4
Deportivo Cali,2016,Colombia,15.9,0.418,23.6,38,5
LDU Quito,2016,Ecuador,35.75,0.794,26.3,45,9
Bolívar La Paz,2016,Bolivia,8.68,0.263,27.0,33,10
Club Sporting Cristal,2016,Perú,8.98,0.28,24.2,32,4
Independiente Santa Fe,2016,Colombia,29.2,0.512,24.9,57,9
The Strongest La Paz,2016,Bolivia,4.08,0.194,28.0,21,6
FBC Melgar,2016,Perú,11.68,0.259,25.3,45,10
Universidad de Chile,2016,Chile,26.5,0.51,24.7,52,9
Club Deportivo Oriente Petrolero,2016,Bolivia,4.3,0.148,27.0,29,9
Atletico River Plate Montevideo,2016,Uruguay,19.7,0.469,24.2,42,6
Universidad César Vallejo,2016,Perú,8.9,0.247,25.5,36,4
CD Cobresal,2016,Chile,8.03,0.223,25.6,36,6
Deportivo Táchira,2016,Venezuela,7.93,0.203,24.3,39,4
Caracas FC,2016,Venezuela,6.0,0.15,23.9,40,3
Trujillanos FC,2016,Venezuela,3.73,0.096,24.5,39,5
CA River Plate,2015,Argentina,105.58,2.25,25.3,47,8
Clube Atlético Mineiro,2015,Brasil,72.85,1.73,26.0,42,3
CA Boca Juniors,2015,Argentina,96.15,2.24,24.4,43,8
Sport Club Internacional,2015,Brasil,83.0,1.51,24.5,55,5
São Paulo FC,2015,Brasil,112.05,2.29,25.1,49,5
Sport Club Corinthians Paulista,2015,Brasil,80.9,1.84,24.9,44,5
Tigres UANL,2015,México,55.6,1.09,25.3,51,13
Racing Club,2015,Argentina,46.95,1.15,26.5,41,6
Atlas Guadalajara,2015,México,34.2,0.76,26.4,45,11
Club Estudiantes de La Plata,2015,Argentina,25.6,0.753,23.6,34,4
Club Libertad Asunción,2015,Paraguay,8.98,0.204,25.2,44,5
Club Cerro Porteño,2015,Paraguay,10.5,0.318,26.4,33,2
Atlético Nacional,2015,Colombia,26.6,0.605,26.4,44,4
CA Huracán,2015,Argentina,25.28,0.648,27.9,39,2
Club Nacional,2015,Uruguay,24.0,0.48,25.9,50,5
CA San Lorenzo de Almagro,2015,Argentina,50.65,1.27,26.3,40,7
CSD Colo Colo,2015,Chile,14.95,0.404,25.0,37,6
CS Emelec,2015,Ecuador,25.2,0.681,25.0,37,7
Cruzeiro Esporte Clube,2015,Brasil,100.6,2.19,25.1,46,6
Independiente del Valle,2015,Ecuador,24.85,0.592,23.1,42,5
Barcelona SC Guayaquil,2015,Ecuador,32.9,0.633,25.9,52,10
Club Guaraní,2015,Paraguay,5.98,0.221,27.9,27,4
Club Sporting Cristal,2015,Perú,10.5,0.318,25.3,33,5
Independiente Santa Fe,2015,Colombia,18.23,0.456,25.4,40,5
The Strongest La Paz,2015,Bolivia,2.45,0.07,28.2,35,10
Universidad de Chile,2015,Chile,20.63,0.543,25.9,38,8
Once Caldas,2015,Colombia,7.98,0.216,25.4,37,7
Club Alianza Lima,2015,Perú,13.18,0.299,24.0,44,5
Montevideo Wanderers,2015,Uruguay,12.68,0.309,22.5,41,1
CD Palestino,2015,Chile,3.78,0.092,23.7,41,10
Club Atlético Morelia,2015,México,40.6,0.738,25.8,55,14
Danubio FC,2015,Uruguay,18.95,0.403,23.5,47,5
Deportivo Táchira,2015,Venezuela,2.58,0.099,24.9,26,3
Club Universitario de Sucre,2015,Bolivia,4.55,0.106,27.7,43,16
Zamora FC,2015,Venezuela,0.45,0.013,24.8,34,6
Mineros de Guayana,2015,Venezuela,3.1,0.115,26.6,27,3
Club Juan Aurich,2015,Perú,8.73,0.264,24.0,33,5
GV Club Deportivo San José Oruro,2015,Bolivia,3.38,0.099,28.2,34,14
Clube de Regatas do Flamengo,2014,Brasil,33.1,0.752,24.6,44,6
Clube Atlético Mineiro,2014,Brasil,64.55,1.32,25.9,49,2
Grêmio Foot-Ball Porto Alegrense,2014,Brasil,50.0,1.14,23.2,44,5
Club Athletico Paranaense,2014,Brasil,13.75,0.299,23.0,46,3
Botafogo de Futebol e Regatas,2014,Brasil,35.35,0.693,24.9,51,6
Santos Laguna,2014,México,31.55,0.853,23.7,37,9
Club León FC,2014,México,31.9,0.693,23.9,46,11
CA Vélez Sarsfield,2014,Argentina,28.5,0.538,22.7,53,5
Club Atlético Lanús,2014,Argentina,30.62,0.729,25.1,42,5
Club Cerro Porteño,2014,Paraguay,9.35,0.26,25.3,36,3
CA Newell's Old Boys,2014,Argentina,32.67,0.641,24.2,51,3
Atlético Nacional,2014,Colombia,20.9,0.486,24.7,43,2
Club Nacional,2014,Uruguay,17.98,0.461,26.2,39,4
CA San Lorenzo de Almagro,2014,Argentina,39.73,1.14,26.6,35,5
CS Emelec,2014,Ecuador,28.13,0.67,24.5,42,8
Cruzeiro Esporte Clube,2014,Brasil,55.65,1.33,25.4,42,4
Independiente del Valle,2014,Ecuador,19.05,0.706,23.4,27,5
CA Peñarol,2014,Uruguay,21.0,0.477,26.8,44,6
Deportivo Cali,2014,Colombia,18.05,0.347,24.3,52,7
Club Guaraní,2014,Paraguay,5.23,0.209,26.6,25,7
Bolívar La Paz,2014,Bolivia,6.93,0.256,27.4,27,9
Club Sporting Cristal,2014,Perú,5.65,0.177,24.5,32,4
Independiente Santa Fe,2014,Colombia,15.88,0.441,26.5,36,5
The Strongest La Paz,2014,Bolivia,1.13,0.042,27.3,27,7
Unión Española,2014,Chile,10.88,0.351,25.1,31,10
Universitario de Deportes,2014,Perú,4.33,0.101,22.6,43,6
Arsenal Fútbol Club,2014,Argentina,27.25,0.534,24.8,51,9
Universidad de Chile,2014,Chile,20.93,0.51,23.7,41,10
Club Deportivo Oriente Petrolero,2014,Bolivia,4.2,0.162,27.4,26,8
CD O'Higgins,2014,Chile,9.05,0.245,24.7,37,8
Club Nacional Asunción,2014,Paraguay,4.75,0.17,26.6,28,1
Defensor Sporting Club,2014,Uruguay,17.63,0.401,24.0,44,2
Club Atlético Morelia,2014,México,41.7,0.834,26.0,50,10
Caracas FC,2014,Venezuela,1.03,0.039,24.6,26,1
Cusco FC,2014,Perú,3.58,0.089,26.3,40,7
Zamora FC,2014,Venezuela,1.35,0.056,25.4,24,6
Deportivo Quito,2014,Ecuador,10.5,0.228,24.3,46,3
Deportivo Anzoátegui SC,2014,Venezuela,1.85,0.05,25.7,37,6
Sociedade Esportiva Palmeiras,2013,Brasil,49.15,0.712,24.9,69,6
Clube Atlético Mineiro,2013,Brasil,51.1,1.11,25.3,46,1
CA Boca Juniors,2013,Argentina,52.75,0.894,24.5,59,3
São Paulo FC,2013,Brasil,117.05,2.21,24.3,53,4
Sport Club Corinthians Paulista,2013,Brasil,73.85,1.57,25.0,47,5
Fluminense Football Club,2013,Brasil,86.1,1.59,23.7,54,7
Grêmio Foot-Ball Porto Alegrense,2013,Brasil,70.55,1.31,24.8,54,6
Club León FC,2013,México,25.15,0.645,25.3,39,7
CA Vélez Sarsfield,2013,Argentina,37.23,0.931,23.5,40,5
Deportivo Toluca FC,2013,México,30.75,0.992,26.3,31,5
Club Tijuana,2013,México,31.2,0.8,26.0,39,13
Club Libertad Asunción,2013,Paraguay,9.33,0.274,25.0,34,4
Club Cerro Porteño,2013,Paraguay,13.98,0.325,26.3,43,10
CA Newell's Old Boys,2013,Argentina,32.17,0.785,25.5,41,6
Millonarios FC,2013,Colombia,26.9,0.585,25.2,46,7
Deportes Tolima,2013,Colombia,18.9,0.402,25.5,47,8
Club Nacional,2013,Uruguay,21.78,0.558,26.3,39,3
Club Olimpia Asunción,2013,Paraguay,14.98,0.405,26.9,37,9
Club Atlético Tigre,2013,Argentina,16.78,0.419,26.0,40,2
CS Emelec,2013,Ecuador,9.65,0.23,24.4,42,6
CA Peñarol,2013,Uruguay,21.35,0.454,25.7,47,5
Barcelona SC Guayaquil,2013,Ecuador,19.1,0.434,25.3,44,10
LDU Quito,2013,Ecuador,14.85,0.391,25.7,38,7
Bolívar La Paz,2013,Bolivia,3.5,0.194,27.1,18,4
Club Sporting Cristal,2013,Perú,6.85,0.185,24.4,37,4
Independiente Santa Fe,2013,Colombia,24.45,0.499,25.2,49,7
The Strongest La Paz,2013,Bolivia,1.48,0.053,27.0,28,8
Arsenal Fútbol Club,2013,Argentina,23.95,0.599,24.9,40,2
Universidad de Chile,2013,Chile,19.08,0.434,23.1,44,11
CD Huachipato,2013,Chile,8.0,0.229,25.2,35,8
Universidad César Vallejo,2013,Perú,5.73,0.174,27.3,33,4
Defensor Sporting Club,2013,Uruguay,15.15,0.37,23.9,41,5
Caracas FC,2013,Venezuela,4.48,0.124,23.6,36,5
Cusco FC,2013,Perú,2.68,0.084,26.0,32,8
Deportivo Lara,2013,Venezuela,2.43,0.073,26.9,33,6
Deportes Iquique,2013,Chile,9.53,0.203,25.4,47,8
GV Club Deportivo San José Oruro,2013,Bolivia,2.25,0.094,27.9,24,5
Deportivo Anzoátegui SC,2013,Venezuela,2.53,0.062,25.0,41,10
Clube de Regatas do Flamengo,2012,Brasil,58.3,0.956,24.6,61,6
CA Boca Juniors,2012,Argentina,38.12,0.747,24.4,51,4
Sport Club Internacional,2012,Brasil,74.1,1.04,23.6,71,6
Sport Club Corinthians Paulista,2012,Brasil,66.55,1.48,24.9,45,6
Santos FC,2012,Brasil,111.65,2.11,23.6,53,7
Tigres UANL,2012,México,39.25,1.19,24.7,33,7
Fluminense Football Club,2012,Brasil,48.9,1.11,23.6,44,4
CD Cruz Azul,2012,México,35.65,1.05,26.2,34,5
CD Guadalajara,2012,México,31.9,0.997,22.9,32,0
CA Vélez Sarsfield,2012,Argentina,48.85,1.19,23.3,41,3
Club Atlético Lanús,2012,Argentina,36.98,0.84,24.0,44,5
Club Libertad Asunción,2012,Paraguay,12.03,0.401,25.8,30,7
CD Godoy Cruz Antonio Tomba,2012,Argentina,19.03,0.514,25.3,37,4
Club de Regatas Vasco da Gama,2012,Brasil,45.5,0.758,24.8,60,3
Junior de Barranquilla,2012,Colombia,21.65,0.555,25.3,39,2
Atlético Nacional,2012,Colombia,26.95,0.657,24.4,41,4
Club Nacional,2012,Uruguay,22.8,0.507,25.9,45,8
Club Olimpia Asunción,2012,Paraguay,15.93,0.455,26.4,35,12
CS Emelec,2012,Ecuador,7.8,0.163,25.9,48,8
CD Universidad Católica,2012,Chile,24.3,0.458,23.7,53,9
CA Peñarol,2012,Uruguay,18.35,0.471,24.3,39,6
Bolívar La Paz,2012,Bolivia,3.95,0.172,25.4,23,5
Unión Española,2012,Chile,10.88,0.311,23.6,35,8
The Strongest La Paz,2012,Bolivia,1.65,0.066,28.0,25,8
Arsenal Fútbol Club,2012,Argentina,30.19,0.888,25.8,34,3
Universidad de Chile,2012,Chile,24.08,0.602,22.5,40,10
Once Caldas,2012,Colombia,17.85,0.313,23.6,57,7
Club Alianza Lima,2012,Perú,9.6,0.171,22.8,56,7
Club Nacional Asunción,2012,Paraguay,7.3,0.252,27.3,29,5
Defensor Sporting Club,2012,Uruguay,13.2,0.388,24.1,34,2
Sport Huancayo,2012,Perú,3.0,0.064,24.2,47,6
Deportivo Táchira,2012,Venezuela,8.55,0.19,25.5,45,10
Caracas FC,2012,Venezuela,4.85,0.135,23.4,36,4
Zamora FC,2012,Venezuela,1.03,0.026,25.5,39,8
Club Juan Aurich,2012,Perú,8.25,0.162,25.1,51,8
CD El Nacional,2012,Ecuador,0.7,0.018,22.9,38,0
Real Potosí,2012,Bolivia,0.075,0.004,26.3,19,7
Deportivo Quito,2012,Ecuador,8.0,0.154,25.1,52,11
Sport Club Internacional,2011,Brasil,61.5,1.01,24.4,61,7
Sport Club Corinthians Paulista,2011,Brasil,56.9,1.12,24.6,51,4
Santos FC,2011,Brasil,114.25,1.73,23.2,66,4
Fluminense Football Club,2011,Brasil,55.7,1.09,24.8,51,6
CF América,2011,México,37.8,1.08,25.4,35,6
Grêmio Foot-Ball Porto Alegrense,2011,Brasil,67.2,1.14,24.6,59,4
CA Vélez Sarsfield,2011,Argentina,35.03,0.854,24.8,41,5
Club Estudiantes de La Plata,2011,Argentina,35.4,0.863,24.9,41,6
Club Atlético Independiente,2011,Argentina,44.23,0.885,25.6,50,8
Club Libertad Asunción,2011,Paraguay,15.75,0.426,25.2,37,7
Club Cerro Porteño,2011,Paraguay,9.93,0.31,24.8,32,6
CD Godoy Cruz Antonio Tomba,2011,Argentina,20.93,0.537,25.6,39,4
AA Argentinos Juniors,2011,Argentina,18.03,0.34,23.7,53,6
Junior de Barranquilla,2011,Colombia,14.95,0.383,24.7,39,2
Deportes Tolima,2011,Colombia,21.03,0.429,26.2,49,10
Club Nacional,2011,Uruguay,24.75,0.527,24.7,47,11
CSD Colo Colo,2011,Chile,23.13,0.551,24.7,42,9
CS Emelec,2011,Ecuador,7.9,0.193,25.9,41,9
CD Universidad Católica,2011,Chile,17.45,0.397,23.8,44,10
Cruzeiro Esporte Clube,2011,Brasil,64.3,1.29,24.4,50,5
CA Peñarol,2011,Uruguay,21.08,0.49,24.3,43,7
Club Guaraní,2011,Paraguay,6.33,0.147,26.0,43,14
